
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Shift, 18038.7, 9.974, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Randon Density, 11665.8, 266.696, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Interchange, 11360.1, 252.947, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Shift, 11665.8, 5.344, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Randon Density, 13882.5, 256.921, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Interchange, 13854.3, 44.273, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Shift, 13882.5, 13.655, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Randon Density, 16471, 191.948, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Interchange, 16430.8, 74.631, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Shift, 16471, 8.664, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Randon Density, 16248.1, 417.698, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Interchange, 16120.6, 142.798, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Shift, 16246, 19.79, 3,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Randon Density, 14454, 312.778, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Interchange, 14233.1, 146.364, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Shift, 14454, 6.973, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Randon Density, 13704.1, 174.096, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Interchange, 13663.4, 51.495, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Shift, 13704.1, 11.976, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Randon Density, 16781.6, 231.052, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Interchange, 16777, 35.972, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Shift, 16781.6, 10.222, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Randon Density, 14594.3, 242.841, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Interchange, 14350.4, 130.463, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Shift, 14594.3, 5.293, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Randon Density, 14414, 252.329, 0,
